rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
1;93;KEN;W-30;02:24:12;01:12:05;01:12:08;00:17:03;00:16:46;00:17:35;00:16:57;00:16:47;00:16:52;00:16:55;00:17:22;00:07:58
2;88;KEN;W-35;02:24:25;01:12:05;01:12:20;00:17:03;00:16:45;00:17:34;00:16:59;00:16:47;00:16:53;00:16:52;00:17:34;00:08:01
3;97;ETH;W-H;02:24:50;01:12:05;01:12:46;00:17:03;00:16:46;00:17:33;00:16:59;00:16:48;00:16:53;00:17:33;00:17:39;00:07:41
4;92;KEN;W-30;02:26:34;01:12:05;01:14:30;00:17:04;00:16:45;00:17:34;00:16:57;00:16:51;00:17:27;00:18:13;00:18:07;00:07:39
5;89;KEN;W-30;02:27:13;01:12:04;01:15:09;00:17:03;00:16:45;00:17:35;00:16:57;00:16:49;00:16:52;00:17:47;00:18:58;00:08:30
6;88;KEN;W-35;02:27:46;01:12:35;01:15:11;00:17:04;00:17:01;00:17:34;00:17:10;00:17:13;00:17:39;00:17:55;00:18:18;00:07:57
7;91;POL;W-30;02:30:05;01:13:55;01:16:10;00:17:29;00:17:32;00:17:50;00:17:16;00:17:19;00:17:47;00:18:12;00:18:47;00:07:58
8;93;AUT;W-30;02:30:42;01:14:58;01:15:44;00:17:38;00:17:49;00:18:09;00:17:29;00:17:28;00:17:31;00:18:07;00:18:31;00:08:04
9;95;ETH;W-H;02:31:01;01:12:05;01:18:57;00:17:03;00:16:47;00:17:34;00:16:56;00:16:50;00:17:32;00:19:01;00:20:22;00:08:59
10;1;ETH;W-H;02:32:16;01:12:35;01:19:42;00:17:04;00:17:06;00:17:32;00:17:08;00:17:23;00:18:24;00:18:46;00:19:38;00:09:20
11;93;KEN;W-30;02:32:55;01:13:33;01:19:23;00:17:04;00:17:03;00:17:37;00:17:50;00:18:07;00:18:23;00:18:47;00:19:23;00:08:45
12;98;CAN;W-H;02:35:02;01:14:03;01:20:59;00:17:29;00:17:32;00:17:50;00:17:20;00:18:16;00:19:08;00:18:59;00:19:41;00:08:51
13;88;ANG;W-35;02:36:07;01:16:51;01:19:16;00:17:51;00:18:04;00:18:40;00:18:19;00:18:27;00:18:44;00:18:51;00:19:02;00:08:14
14;91;BRA;W-30;02:37:44;01:15:16;01:22:29;00:17:38;00:17:49;00:18:10;00:17:42;00:18:15;00:19:22;00:19:56;00:20:07;00:08:49
15;89;AUT;W-30;02:37:49;01:18:18;01:19:31;00:18:10;00:18:26;00:18:54;00:18:42;00:18:43;00:18:45;00:19:02;00:19:04;00:08:08
16;91;ITA;W-30;02:38:05;01:18:51;01:19:15;00:18:36;00:18:35;00:18:47;00:18:43;00:18:50;00:18:48;00:18:59;00:18:46;00:08:04
17;79;HUN;W-40;02:40:30;01:19:37;01:20:54;00:18:31;00:18:48;00:19:16;00:18:53;00:19:01;00:19:05;00:19:03;00:19:19;00:08:37
18;96;GRE;W-H;02:43:09;01:20:37;01:22:32;00:18:59;00:19:13;00:19:27;00:18:49;00:18:54;00:19:10;00:19:37;00:20:11;00:08:52
19;96;HUN;W-H;02:47:00;01:23:59;01:23:01;00:00:00;00:00:00;00:20:30;00:19:40;00:19:32;00:19:47;00:19:49;00:19:52;00:08:20
20;87;HUN;W-35;02:47:09;01:19:31;01:27:38;00:18:27;00:18:52;00:19:18;00:18:50;00:19:03;00:19:44;00:21:11;00:22:30;00:09:18
21;89;ISR;W-30;02:47:46;01:23:20;01:24:26;00:19:43;00:19:47;00:20:04;00:19:32;00:19:30;00:19:49;00:20:07;00:20:34;00:08:43
22;0;HUN;W-H;02:48:58;01:20:59;01:27:59;00:19:03;00:19:05;00:19:37;00:19:03;00:19:17;00:20:12;00:20:37;00:21:41;00:10:27
23;1;ETH;W-H;02:49:22;01:17:10;01:32:13;00:17:05;00:17:20;00:19:02;00:19:18;00:20:27;00:21:27;00:21:47;00:22:41;00:10:20
24;83;SUI;W-40;02:52:08;01:20:29;01:31:39;00:18:44;00:18:58;00:19:19;00:19:13;00:19:26;00:20:24;00:21:09;00:24:34;00:10:25
25;91;GER;W-30;02:52:53;01:18:51;01:34:02;00:18:36;00:18:36;00:18:47;00:18:44;00:20:41;00:22:06;00:21:43;00:24:01;00:09:42
26;76;AUT;W-45;02:54:22;01:26:56;01:27:26;00:20:23;00:20:33;00:21:05;00:20:23;00:20:33;00:20:42;00:20:50;00:20:59;00:08:57
27;79;HUN;W-40;02:54:30;01:27:45;01:26:45;00:20:52;00:20:42;00:21:16;00:20:28;00:20:28;00:20:29;00:20:34;00:20:47;00:08:57
28;87;GER;W-35;02:55:21;01:27:45;01:27:37;00:20:45;00:20:45;00:21:17;00:20:25;00:20:41;00:20:47;00:21:01;00:20:44;00:09:00
29;83;HUN;W-40;02:57:36;01:23:47;01:33:50;00:18:58;00:19:25;00:20:12;00:20:31;00:23:37;00:22:03;00:21:37;00:21:48;00:09:29
30;88;GER;W-35;02:57:58;01:26:33;01:31:25;00:20:08;00:20:34;00:20:57;00:20:24;00:20:35;00:21:00;00:21:30;00:22:55;00:09:58
31;88;AUT;W-35;02:58:31;01:28:05;01:30:27;00:20:42;00:20:58;00:21:25;00:20:29;00:20:37;00:20:49;00:21:22;00:22:03;00:10:10
32;82;FRA;W-40;02:58:51;01:26:02;01:32:49;00:19:03;00:20:21;00:21:17;00:20:47;00:21:13;00:21:45;00:22:34;00:22:30;00:09:27
33;90;RUS;W-30;02:59:40;01:29:49;01:29:51;00:21:18;00:21:31;00:21:43;00:20:38;00:21:09;00:20:55;00:21:13;00:21:54;00:09:23
34;85;HUN;W-35;02:59:59;01:27:18;01:32:41;00:20:41;00:20:14;00:21:03;00:20:49;00:20:53;00:21:37;00:22:14;00:22:52;00:09:41
35;80;AUT;W-40;03:00:32;01:28:40;01:31:53;00:20:45;00:20:52;00:21:26;00:20:59;00:21:19;00:21:33;00:21:56;00:22:07;00:09:40
36;98;AUT;W-H;03:01:01;01:23:34;01:37:28;00:19:04;00:19:09;00:20:17;00:20:31;00:21:15;00:22:10;00:23:41;00:24:49;00:10:10
37;77;AUT;W-45;03:01:48;01:27:31;01:34:18;00:20:28;00:20:30;00:21:10;00:20:50;00:20:58;00:21:45;00:22:40;00:23:06;00:10:26
38;88;ESP;W-35;03:02:30;01:31:34;01:30:57;00:21:45;00:21:37;00:22:03;00:21:28;00:21:26;00:21:36;00:21:38;00:21:43;00:09:18
39;85;GER;W-35;03:03:14;01:30:02;01:33:13;00:21:12;00:21:13;00:21:39;00:21:18;00:21:25;00:22:07;00:22:26;00:22:22;00:09:37
40;77;ISR;W-45;03:03:27;01:30:07;01:33:21;00:21:42;00:21:10;00:21:36;00:21:04;00:21:10;00:21:39;00:22:34;00:22:56;00:09:41
41;83;GBR;W-40;03:05:01;01:29:06;01:35:55;00:20:39;00:20:45;00:21:47;00:21:11;00:21:48;00:22:04;00:23:02;00:23:38;00:10:13
42;93;GER;W-30;03:05:11;01:29:32;01:35:40;00:20:59;00:21:03;00:21:32;00:21:14;00:21:32;00:22:20;00:23:12;00:23:19;00:10:04
43;90;CZE;W-30;03:05:30;01:32:36;01:32:54;00:21:51;00:21:53;00:22:23;00:21:41;00:21:53;00:22:03;00:22:16;00:22:05;00:09:29
44;80;RSA;W-40;03:07:12;01:33:40;01:33:33;00:22:03;00:22:08;00:22:43;00:22:02;00:21:49;00:22:50;00:22:04;00:22:05;00:09:32
45;97;AUT;W-H;03:07:39;01:31:40;01:35:59;00:20:47;00:21:23;00:22:33;00:21:58;00:22:35;00:22:38;00:23:13;00:22:59;00:09:36
46;92;AUT;W-30;03:08:09;01:29:25;01:38:45;00:20:33;00:20:54;00:21:38;00:21:32;00:21:57;00:22:47;00:23:40;00:24:37;00:10:36
47;76;HUN;W-45;03:10:21;01:33:16;01:37:06;00:21:53;00:22:03;00:22:25;00:22:03;00:22:08;00:22:28;00:23:11;00:23:49;00:10:24
